Title,Document Type,Name,Version
3D printed microfluidic selectable ratio mixer pump in 2 mm3,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Simplified modeling for soot formation from solid fuels,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Irregular quadrature amplitude modulation for adaptive physical-layer security,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Data classification and parameter identification in power systems by manifold learning,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Free Space Excitation in Optofluidic Devices for Single Particle Detection,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Visual servoing for multirotor precision landing in daylight and after-dark conditions,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Gesture commands for controlling high-level UAV behavior,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Error-state LQR control of a multirotor UAV,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Encirclement of moving targets using relative range and bearing measurements,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Deep RC: Enabling remote control through deep learning,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Preliminary investigation of multilobe fighter jet noise sources using acoustical holography,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Level-educed wavepacket representation of Mach 1.8 laboratory-scale jet noise,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Characterization of supersonic laboratory-scale jet noise with vector acoustic intensity,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Beamforming-based wavepacket model for noise environment predictions of tactical aircraft,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Acoustic shock formation in noise propagation during ground run-up operations of military aircraft,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Crackle-related beamforming of military jet aircraft noise,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Coherence analysis of the noise from a simulated highly-heated laboratory-scale jet,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Feedback regulation of immune response to maximum exercise in Gulf war illness,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Swarm Transparency,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
"Binder jetting: A review of process, materials, and methods",Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Mixing plane simulation of a high-performance fan using kestrel,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Small aircraft flight encounters database for UAS sense and avoid,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Three-way spectral decompositions of high-performance military aircraft noise,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
A modeling framework for assessing cyber disruptions and attacks to the national airspace system,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Simulating stall inception in a high-performance fan using createt m-av kestrel,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Best practices for wake model and optimization algorithm selection in wind farm layout optimization,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
