Title,Document Type,Name,Version
Investigating the safety impact of roadway network features of suburban arterials in Shanghai,Journal,AIAA Journal,AIAA Journal Vol 1
A usability study of four secure email tools using paired participants,Journal,AIAA Journal,AIAA Journal Vol 2
Biocompatible PEGDA Resin for 3D Printing,Journal,AIAA Journal,AIAA Journal Vol 3
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Journal,AIAA Journal,AIAA Journal Vol 4
Fabrication of High Aspect Ratio Millimeter-Tall Free-Standing Carbon Nanotube-Based Microelectrode Arrays,Journal,AIAA Journal,AIAA Journal Vol 5
The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation,Journal,AIAA Journal,AIAA Journal Vol 1
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Journal,AIAA Journal,AIAA Journal Vol 2
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Journal,AIAA Journal,AIAA Journal Vol 3
The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,Journal,AIAA Journal,AIAA Journal Vol 4
Traverses for the ISECG-GER design reference mission for humans on the lunar surface,Journal,AIAA Journal,AIAA Journal Vol 5
Effect of nozzle–plate distance on acoustic phenomena from supersonic impinging jet,Journal,AIAA Journal,AIAA Journal Vol 1
Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,Journal,AIAA Journal,AIAA Journal Vol 2
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",Journal,AIAA Journal,AIAA Journal Vol 3
Informatics analysis of capillary electropherograms of autologously doped and undoped blood,Journal,AIAA Journal,AIAA Journal Vol 4
Nano-Composite Foam Sensor System in Football Helmets,Journal,AIAA Journal,AIAA Journal Vol 5
Fundamental Principles of Tremor Propagation in the Upper Limb,Journal,AIAA Journal,AIAA Journal Vol 1
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking,Journal,AIAA Journal,AIAA Journal Vol 2
